CLAVE ENTIDAD,ENTIDAD,CLAVE MUNICIPIO,MUNICIPIO,PRODUCTO_ID,CULTIVO,SUPERFICE COSECHADA (ha),VOLUMEN DE LA PRODUCCIN (ton),VALOR DE LA PRODUCCIN (pesos),VALOR PROD/SUPCOSECHADA
13,Hidalgo,43,Nicolàs Flores,50600,Aguacate,14,65,"523,908","37,422"
7,Chiapas,119,Santiago El Pinar,68400,Frijol,175,65,"728,438","4,163"
5,Coahuila,34,Sierra Mojada,74900,MaÕz grano,71,65,"221,616","3,121"
2,Baja California,1,Ensenada,59300,Semilla de cebada grano,30,65,"455,000","15,167"
6,Colima,1,ArmerÕa,88100,Sorgo grano,14,65,"208,000","14,857"
10,Durango,13,MapimÕ,59400,Cebolla,1,65,"260,000","260,000"
12,Guerrero,29,Chilpancingo de Los Bravo,75600,Mango,10,65,"162,928","16,293"
14,Jalisco,99,Tolimàn,89800,Tomate verde,5,65,"519,250","103,850"
16,Michoacàn,113,Jos_ Sixto Verduzco,68200,Fresa,5,65,"487,500","97,500"
5,Coahuila,8,Escobedo,88100,Sorgo grano,20,65,"246,782","12,339"
15,M_xico,98,Texcalyacac,51700,Alfalfa verde,4,65,"25,320","6,330"
12,Guerrero,56,Tecoanapa,57000,Cacao,68,65,"514,739","7,570"
14,Jalisco,92,Teocuitatlàn de Corona,69050,Garbanzo porquero,54,65,"93,819","1,737"
8,Chihuahua,45,Meoqui,57900,Camote,2,65,"327,000","150,000"
15,M_xico,21,Coatepec Harinas,51700,Alfalfa verde,3,65,"31,109","10,370"
12,Guerrero,30,Florencio Villarreal,68400,Frijol,80,66,"589,919","7,374"
14,Jalisco,40,Hostotipaquillo,87900,Sorgo forrajero en verde,4,66,"45,760","11,440"
16,Michoacàn,79,Salvador Escalante,61600,Chirimoya,8,66,"336,000","42,000"
7,Chiapas,26,ChenalhÑ,83900,Plàtano,5,66,"128,220","25,644"
7,Chiapas,70,El Porvenir,75800,Manzana,23,66,"472,300","20,535"
13,Hidalgo,67,Tezontepec de Aldama,90500,Trigo grano,14,66,"225,036","16,074"
14,Jalisco,114,Villa Corona,68900,Garbanzo forrajero,24,66,"67,572","2,816"
12,Guerrero,76,Acatepec,72200,Jamaica,169,66,"3,360,553","19,885"
7,Chiapas,98,Totolapa,75400,Mamey,17,66,"141,814","8,342"
12,Guerrero,61,Tixtla de Guerrero,69000,Garbanzo grano,88,66,"551,094","6,262"
13,Hidalgo,2,Acaxochitlàn,65300,Durazno,33,66,"204,600","6,200"
14,Jalisco,33,Degollado,58200,CaÐa de azucar,2,66,"112,200","56,100"
16,Michoacàn,38,Huetamo,83900,Plàtano,6,66,"132,000","22,000"
16,Michoacàn,38,Huetamo,61200,Chile verde,24,66,"779,100","32,463"
7,Chiapas,40,Huixtla,64000,Copra,80,66,"284,110","3,551"
13,Hidalgo,14,Calnali,50600,Aguacate,16,66,"1,128,800","70,550"
7,Chiapas,11,Bella Vista,50600,Aguacate,26,67,"858,624","33,024"
